id	name
539	Автоматизация работы предприятий туризма
28	Административное право
555	Администрирование территорий с особым экономическим режимом
361	Актерское мастерство и анимационные программы
667	Актуальные проблемы мировой экономики и международных экономических отношений
54	Алгебра и геометрия
58	Алгоритмизация и программирование
620	Анализ деятельности финансовых институтов
420	Анализ и диагностика финансово-хозяйственной деятельности
659	Аналитическое чтение научных текстов
470	Английский язык базовый, модуль 1
472	Английский язык базовый, модуль 2
609	Английский язык в профессиональной сфере
668	Английский язык дипломатической и консульской службы (базовый)
476	Английский язык углубленный
342	Антропология
443	Архитектура корпоративных информационных систем
405	Архитектура ЭВМ
213	Архитектурно-дизайнерское материаловедение
593	Архитектурные конструкции
655	Аудирование
589	Аудит модуль 1
591	Аудит модуль 2
70	Базы данных
78	Базы данных продвинутый курс
430	Банковское дело
1	Безопасность жизнедеятельности
523	Безопасность непродовольственных товаров
249	Безопасность транспортных средств
450	Бизнес-аналитика
671	Бизнес-исследования: организация и методы
131	Бизнес-проектирование базовый курс
292	Биогеография
529	Биологическая повреждаемость непродовольственных товаров
266	Биология модуль 1
270	Биология модуль 2
132	Биржевое дело
524	Бренд-менеджмент
557	Брендинг
115	Бухгалтерская финансовая отчетность и ее анализ
46	Бухгалтерский учет в бюджетных организациях
98	Бухгалтерский учет модуль 1
102	Бухгалтерский учет модуль 2
592	Бухгалтерский учет финансовый
99	Бюджетная система
109	Бюджетное планирование и прогнозирование
471	Введение в изучение восточного языка модуль 1
473	Введение в изучение восточного языка модуль 2
20	Введение в научные исследования
79	Веб-программирование
389	Взаимодействие с потребителями в туризме и индустрии гостеприимства
497	Взаимозаменяемость и технические измерения
594	Витраж
660	Восточный язык
477	Восточный язык базовый
607	Восточный язык базовый (корейский)
613	Восточный язык профессиональный (корейский)
480	Восточный язык углубленный
610	Восточный язык углубленный (корейский)
2	Высшая математика
91	Высшая математика модуль 1
94	Высшая математика модуль 2
267	География
390	География туризма
80	Геоинформационные системы
271	Геология
285	Геоэкология
503	Гидравлические и пневматические системы ТИТТМО
604	Глобальные проблемы современности
47	Государственная и муниципальная служба
574	Государственная молодежная политика в РФ
38	Государственное и муниципальное управление
48	Государственное регулирование экономики
49	Государственные и муниципальные финансы
9	Градостроение
187	Гражданский процесс
29	Гражданское право
176	Гражданское право модуль Часть общая
188	Гражданское право модуль Часть особенная
575	Грантоведение
261	Грузовые автомобильные перевозки
154	Деловая оценка персонала
10	Деловое общение
624	Деловое общение на иностранном языке
308	Деловые коммуникации в сервисе
608	Деловые переговоры и деловая переписка
149	Делопроизводство в кадровой службе
103	Деньги, кредит, банки
220	Дизайн и рекламные технологии
481	Дипломатическая и консульская служба
488	Дипломатический протокол и этикет
59	Дискретная математика
30	Документирование управленческой деятельности
391	Документированное обеспечение управления сервисом и туризмом
621	Долгосрочная и краткосрочная финансовая политика
255	Дорожные условия и безопасность движения
205	Живопись модуль 1
214	Живопись модуль 2
189	Жилищное право
318	Зарубежный этикет и протокол
177	Защита прав предпринимателей в ходе расследования преступлений в сфере предпринимательской деятельности
190	Земельное право
343	Зоопсихология и сравнительная психология
525	Идентификация и обнаружение фальсификации непродовольственных товаров
519	Идентификация и обнаружение фальсификации продовольственных товаров
126	Идентификация и обнаружение фальсификации товаров
416	Измерительные системы
323	Имидж территории
319	Имидж товара и услуги
39	Инвестиционный анализ
359	Индивидуальный стиль в одежде
55	Инженерная и компьютерная графика модуль 1
