id	id_student	id_edu_subject	chemestry	score	result
1	1	1	1	64	Удовлетворительно
2	1	2	1	61	Удовлетворительно
3	1	3	1	70	Зачтено
4	1	4	1	61	Удовлетворительно
5	1	5	1	61	Удовлетворительно
6	1	6	1	76	Зачтено
7	1	7	1	62	Зачтено
8	1	8	1	76	Хорошо
9	1	9	2	80	Хорошо
10	1	10	2	100	Зачтено
11	1	11	2	62	Зачтено
12	1	12	2	62	Удовлетворительно
13	1	13	2	68	Удовлетворительно
14	1	14	2	80	Зачтено
15	1	15	2	76	Зачтено
16	1	6	2	76	Зачтено
17	1	16	2	91	Отлично
18	1	17	2	91	Зачтено
19	1	18	2	61	Удовлетворительно
20	1	19	2	61	Удовлетворительно
21	1	20	3	63	Зачтено
22	1	21	3	70	Удовлетворительно
23	1	22	3	84	Зачтено
24	1	6	3	91	Зачтено
25	1	23	3	68	Зачтено
26	1	24	3	66	Удовлетворительно
27	1	25	3	76	Хорошо
28	1	26	3	77	Хорошо
29	1	27	3	65	Удовлетворительно
30	1	28	4	80	Зачтено
31	1	29	4	62	Удовлетворительно
32	1	30	4	93	Зачтено
33	1	31	4	63	Зачтено
34	1	32	4	70	Зачтено
35	1	33	4	80	Хорошо
36	1	34	4	65	Удовлетворительно
37	1	6	4	91	Зачтено
38	1	35	4	80	Хорошо
39	1	36	4	61	Удовлетворительно
40	1	16	4	91	Отлично
41	1	37	4	73	Зачтено
42	1	38	5	91	Отлично
43	1	39	5	84	Хорошо
44	1	40	5	83	Зачтено
45	1	41	5	64	Зачтено
46	1	6	5	90	Зачтено
47	1	42	5	91	Зачтено
48	1	43	5	92	Отлично
49	1	44	5	76	Зачтено
50	1	45	5	66	Удовлетворительно
51	1	46	6	31	Не атеестован
52	1	47	6	10	Не атеестован
53	1	48	6	35	Не атеестован
54	1	49	6	25	Не атеестован
55	1	50	6	21	Не атеестован
56	1	51	6	30	Не атеестован
57	1	6	6	0	Не атеестован
58	1	52	6	14	Не атеестован
59	1	53	6	15	Не атеестован
60	2	54	1	94	Отлично
61	2	55	1	100	Отлично
62	2	3	1	76	Зачтено
63	2	56	1	76	Хорошо
64	2	4	1	96	Отлично
65	2	6	1	70	Зачтено
66	2	17	1	67	Зачтено
67	2	57	1	78	Хорошо
68	2	58	2	99	Отлично
69	2	1	2	92	Отлично
70	2	59	2	80	Хорошо
71	2	60	2	78	Хорошо
72	2	11	2	61	Зачтено
73	2	61	2	76	Хорошо
74	2	6	2	76	Зачтено
75	2	62	2	91	Отлично
76	2	63	2	91	Отлично
77	2	16	2	91	Отлично
78	2	21	3	76	Хорошо
79	2	64	3	67	Удовлетворительно
80	2	65	3	100	Отлично
81	2	66	3	86	Зачтено
82	2	67	3	95	Отлично
83	2	6	3	91	Зачтено
84	2	68	3	96	Отлично
85	2	69	3	76	Хорошо
86	2	70	4	62	Удовлетворительно
87	2	71	4	61	Зачтено
88	2	72	4	82	Хорошо
89	2	73	4	83	Хорошо
90	2	74	4	69	Удовлетворительно
91	2	6	4	76	Зачтено
92	2	75	4	80	Хорошо
93	2	76	4	76	Хорошо
94	2	16	4	95	Отлично
95	2	77	4	95	Отлично
96	2	78	5	88	Зачтено
97	2	79	5	91	Отлично
98	2	80	5	82	Хорошо
99	2	81	5	72	Зачтено
100	2	82	5	76	Хорошо
101	2	83	5	61	Удовлетворительно
102	2	6	5	76	Зачтено
103	2	84	5	83	Хорошо
104	2	85	6	5	Не атеестован
105	2	86	6	40	Не атеестован
106	2	87	6	33	Не атеестован
107	2	6	6	5	Не атеестован
108	2	88	6	5	Не атеестован
109	2	89	6	15	Не атеестован
110	2	90	6	14	Не атеестован
111	3	91	1	91	Отлично
112	3	3	1	83	Зачтено
113	3	92	1	98	Отлично
114	3	14	1	80	Зачтено
115	3	93	1	91	Отлично
116	3	6	1	95	Зачтено
117	3	7	1	77	Зачтено
118	3	23	1	98	Зачтено
119	3	8	1	94	Отлично
120	3	1	2	98	Отлично
121	3	94	2	92	Отлично
122	3	11	2	77	Зачтено
123	3	12	2	100	Отлично
124	3	4	2	96	Отлично
125	3	95	2	61	Зачтено
126	3	5	2	100	Зачтено
127	3	6	2	70	Зачтено
128	3	96	2	90	Зачтено
129	3	16	2	98	Отлично
130	3	17	2	97	Зачтено
131	3	97	2	70	Зачтено
132	3	19	2	91	Отлично
133	3	98	3	95	Зачтено
134	3	99	3	100	Зачтено
135	3	21	3	97	Отлично
136	3	6	3	95	Зачтено
137	3	24	3	91	Отлично
138	3	68	3	91	Отлично
139	3	100	3	95	Отлично
140	3	101	3	95	Отлично
141	3	102	4	91	Отлично
142	3	103	4	93	Отлично
143	3	104	4	98	Зачтено
144	3	105	4	97	Отлично
