id	name
17	Бизнес-информатика
1	Государственное и муниципальное управление
7	Дизайн
18	Зарубежное регионоведение
14	Инфокоммуникационные технологии и системы связи
15	Информационные системы и технологии
24	Лингвистика
23	Международные отношения
16	Менеджмент
22	Организация работы с молодежью
2	Прикладная информатика
11	Психология
21	Реклама и связи с общественностью
10	Сервис
12	Телевидение
8	Технология транспортных процессов
20	Товароведение
4	Торговое дело
13	Туризм
5	Управление персоналом
9	Экология и природопользование
3	Экономика
19	Эксплуатация транспортно-технологических машин и комплексов
6	Юриспруденция
